Sentence,Aspect Term,polarity
"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",printer,positive
Battery is not upgradable to a longer life battery.,Battery,negative
The only thing is that the battery won't last more than 1/2 an hour.,battery,negative
Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.,agents,negative
My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,GarageBand,neutral
"With all the programs that came with it, such as iLife and iWork, I was set from the very beginning.",iLife,neutral
It has easy to use features and all the speed and power I could ask for.,power,positive
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,positive
Moral of the story:-Do not buy anything from companies that do not respect their customers.,companies,negative
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",Apple applications,positive
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,negative
The graphics are great.,graphics,positive
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,features,positive
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",use,positive
"Windows XP SP2 caused many problems on the computer, so I had to remove it.",Windows XP SP2,negative
There was a little difficulty doing the migration as the firewire cable system can't be used with the iBook.,iBook,neutral
The right speaker did not work.,right speaker,negative
"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.",pop ups,neutral
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive
Excellent speed for processing data.,speed,positive
I think that if it is the motherboard again so soon that they should replace it.,motherboard,negative
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive
HP said it was out of warranty.,warranty,neutral
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",MS Office,positive
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",keyboard,neutral
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",build quality,negative
It's perfect for everything and runs faster than an average pc!,runs,positive
and looks very sexyy:D really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,negative
It is light and the battery last a very long time.,battery,positive
So we exchanged it for the same on and after 2 hours it didn't work.,work,negative
